Bundesopiumstelle - Bekanntgabe von Pharmazentralnummern - Stand: 21.06.2026;;;;;
PZN;Packungseinheit;Maßeinheit;Bezeichnung;Darreichungsform;
00093970;1;Stück;Diazepamum GF 10 mg;Tabletten;
00093987;1;Stück;Diazepam Pch  2 mg;Tabletten;
00093993;1;Stück;Diazepam Pch  5 mg;Tabletten;
00094001;1;Stück;Diazepam Pch 10 mg;Tabletten;
00094082;1;Stück;Adumbran forte;Tabletten;
00094099;1;Stück;Midazolam  2 mg/2 ml;Injektionslösung;
00094107;1;Stück;Midazolam  5 mg/5 ml (5 ml);Injektionslösung;
00094113;1;Stück;Midazolam 10 mg/10 ml;Injektionslösung;
00094136;1;Stück;Midazolam 10 mg/2 ml;Injektionslösung;
00094142;1;Stück;Midazolam 25 mg/5 ml;Injektionslösung;
00094159;1;Stück;Midazolam 50 mg / 10 ml (10 ml);Injektionslösung;
00094165;1;Stück;Midazolam  5 mg/1 ml (1 ml);Injektionslösung;
00094171;1;g;Hydromorphone SR Pellets 2,5 %;;
00094188;1;g;Hydromorphone SR Pellets 5 %;;
00094308;1;g;Tilidinmesilat;;
00094314;1;kg;Tilidinmesilat;;
00094337;1;mg;Tilidinmesilat;;
00094343;1;mg;Tilidin (cis/trans-Base mit 96% Tilidin);;
00094366;1;kg;Tilidin (cis/trans-Base mit 96% Tilidin);;
00094395;1;g;Analytik Midazolam;;
00094403;1;mg;Analytik Midazolam;;
00094426;1;g;Analytik Midazolamhydrochlorid;;
00094432;1;mg;Analytik Midazolamhydrochlorid;;
00094449;1;Stück;Maliasin 25 mg;Dragees;
00094455;1;Stück;Maliasin 100 mg;Dragees;
00094461;1;Stück;Oxycodonhydrochlorid  5 mg;Kapseln;
00094478;1;Stück;Mundidol UNO retard  30 mg;Kapseln;
00094484;1;Stück;Mundidol UNO retard  60 mg;Kapseln;
00094490;1;Stück;Mundidol UNO retard 120 mg;Kapseln;
00094509;1;Stück;Mundidol UNO retard 200 mg;Kapseln;
00094544;1;Stück;Morphinhydrochlorid-Trihydrat 10 mg;Injektionslösung;
00094550;1;mg;MBDB als Hydrochlorid;;
00094567;1;g;MBDB als Hydrochlorid;;
00094573;1;Stück;Ethylecgonin 0,1 mg/ml;Lösung;
00094596;1;Stück;Oxygesic  10 mg;Retardtabletten;
00094604;1;Stück;Oxygesic  20 mg;Retardtabletten;
00094610;1;Stück;Oxygesic  40 mg;Retardtabletten;
00094627;1;g;Ethylecgonin;;
00094633;1;kg;Cetobemidonhydrochlorid;;
00094656;1;Stück;Midazolam  1 mg/ml Hameln ( 2 ml);Injektionslösung;
00094662;1;Stück;Midazolam  1 mg/ml Hameln (10 ml);Injektionslösung;
00094679;1;Stück;Midazolam  5 mg/ml (2 ml);Injektionslösung;
00094685;1;Stück;Midazolam  5 mg/ml Hameln ( 5 ml);Injektionslösung;
00094691;1;Stück;Midazolam  5 mg/ml Hameln (10 ml);Injektionslösung;
00094716;1;Stück;Fentanyl   50 µg/ml;Injektionslösung;
